Flood,N households,N cap firms,N cons firms,N serv firms,Regional demand,Export demand,Unemployment rate,Min wage,Avg wage,N cap bankrupt,N cons bankrupt,N serv bankrupt
False,10000,127,42,77,5597.628000000001,0.0,0.88,0.5,1.0043274261603374,0,1,1
False,10000,130,40,36,6162.533,0.0,0.79,0.51,1.014766270783848,0,1,3
False,10000,132,38,34,7113.3369999999995,0.0,0.58,0.5,1.0059461335886999,0,1,1
False,10000,135,39,37,7178.738,0.0,0.57,0.5,1.0041041184636743,0,1,1
False,10000,140,38,35,7221.328,0.0,0.56,0.5,1.003702494331066,0,1,1
False,10000,143,38,32,7112.6849999999995,0.0,0.58,0.5,1.0042207637231504,0,1,1
False,10000,148,37,32,7811.855,0.0,0.45,0.5,1.012551039008385,0,1,1
False,10000,151,37,30,7404.433999999999,0.0,0.52,0.5,1.0006108682073702,0,1,1
False,10000,156,36,33,7530.223,0.0,0.49,0.5,0.9967065174715352,0,1,1
False,10000,159,35,30,6977.073,0.0,0.6,0.5,0.9985055471507817,0,1,1
False,10000,115,38,30,6588.791,0.0,0.69,0.5,1.0069530950861518,6,1,1
False,10000,75,36,30,6762.262000000001,0.0,0.66,0.51,1.005901551312649,10,1,1
False,10000,64,38,33,6768.655000000001,0.0,0.67,0.505,1.0214227764423076,3,1,1
False,10000,59,37,30,6903.733,0.0,0.67,0.515,1.0388151135005974,4,1,1
False,10000,51,39,30,7809.639,0.0,0.6,0.555,1.1213255639097743,1,1,1
False,10000,49,39,31,9697.551,0.0,0.36,0.585,1.1882535277516464,0,1,1
False,10000,47,41,31,9003.999,0.0,0.5,0.6,1.203576250753466,1,1,1
False,10000,43,41,32,9182.782,0.0,0.48,0.605,1.210602551710806,2,1,1
False,10000,46,40,37,9307.709,0.0,0.48,0.61,1.2245038314176244,0,1,1
False,10000,45,39,35,8864.864000000001,0.0,0.54,0.61,1.2135503165247763,1,1,1
False,10000,46,35,35,8921.260999999999,0.0,0.53,0.605,1.212931611264027,1,1,1
False,10000,48,35,33,9253.165,0.0,0.47,0.6,1.2153139776811046,0,1,1
False,10000,48,33,30,8383.753,0.0,0.61,0.6,1.2067073046576737,1,1,1
False,10000,49,36,32,9061.699999999999,0.0,0.52,0.61,1.2303812316715543,1,1,1
False,10000,51,35,30,9536.486,0.0,0.53,0.64,1.313354658651782,1,1,1
False,10000,53,38,34,11239.203,0.0,0.44,0.695,1.4591551754854801,0,1,1
False,10000,54,37,32,12948.239,0.0,0.42,0.805,1.645466540837337,0,1,1
False,10000,56,36,33,13277.564999999999,0.0,0.43,0.835,1.6934608013937282,0,1,1
False,10000,57,33,34,13031.154,0.0,0.46,0.84,1.6950875184638108,0,1,1
False,10000,58,32,34,12838.817,0.0,0.48,0.83,1.697842638623327,1,1,1
False,10000,59,31,34,11925.24,0.0,0.6,0.845,1.708628230616302,0,1,1
False,10000,58,35,32,11982.301,0.0,0.59,0.845,1.7122479744659955,0,1,1
False,10000,61,34,32,13437.291,0.0,0.48,0.875,1.772260911179173,1,1,1
False,10000,61,33,32,14573.757999999998,0.0,0.39,0.91,1.8079261811023624,1,1,1
False,10000,60,32,31,14130.726999999999,0.0,0.41,0.89,1.7755132893177588,1,1,1
False,10000,64,31,29,13134.167000000001,0.0,0.51,0.885,1.757183835504886,0,1,1
False,10000,68,31,26,12883.199,0.0,0.55,0.885,1.7737613486117232,0,1,1
False,10000,65,33,27,13534.206,0.0,0.5,0.905,1.80058737767126,0,1,1
False,10000,67,33,26,13301.89,0.0,0.58,0.925,1.8840272189349114,1,1,1
False,10000,69,34,29,15102.303,0.0,0.5,0.99,2.033800762439807,1,1,1
False,10000,69,33,29,16230.611,0.0,0.44,1.035,2.0860475424486147,1,1,1
False,10000,70,33,26,15787.405999999999,0.0,0.48,1.04,2.0677386493704693,1,1,1
False,10000,69,33,26,15351.791000000001,0.0,0.53,1.04,2.08446108415946,0,1,1
False,10000,70,31,24,16114.206,0.0,0.44,1.035,2.0573848882582477,0,1,1
False,10000,69,29,25,15884.719,0.0,0.48,1.045,2.0899373197462023,0,1,1
False,10000,66,30,27,16650.684999999998,0.0,0.51,1.105,2.2517414004914005,3,1,1
False,10000,67,31,26,18017.576,0.0,0.53,1.22,2.4692110800944813,0,1,1
False,10000,65,33,27,21276.349000000002,0.0,0.43,1.33,2.7328051354203304,0,1,1
False,10000,64,30,26,22040.245,0.0,0.41,1.39,2.7810193096377307,0,1,1
False,10000,67,29,24,21013.456,0.0,0.5,1.405,2.8100556900726392,0,1,1
False,10000,61,26,25,21425.192,0.0,0.47,1.405,2.8007592732778197,3,1,1
False,10000,62,26,24,22474.788,0.0,0.41,1.42,2.8258423377505943,0,1,1
False,10000,68,28,25,22307.666,0.0,0.42,1.41,2.816626563838903,0,1,1
False,10000,67,29,23,21523.092,0.0,0.47,1.41,2.8053180451127817,1,1,1
False,10000,66,29,22,21553.34,0.0,0.47,1.4,2.8275826875826877,1,1,1
False,10000,64,27,24,23360.394,0.0,0.39,1.46,2.8975441417787984,0,1,1
False,10000,63,26,23,22304.527,0.0,0.47,1.46,2.9178102175969727,1,1,1
False,10000,64,23,24,22697.355,0.0,0.46,1.46,2.9504021719123874,1,1,1
False,10000,61,20,30,24430.873,0.0,0.38,1.495,3.0160770094657465,2,1,1
False,10000,62,20,30,24414.475,0.0,0.4,1.515,3.0660589318600366,1,1,1
False,10000,61,21,36,24415.652000000002,0.0,0.41,1.54,3.0577865319865323,1,1,1
False,10000,65,21,38,25061.029000000002,0.0,0.43,1.575,3.1979787345302424,0,1,1
False,10000,59,18,38,26198.235,0.0,0.4,1.62,3.2953074731903484,2,1,1
False,10000,59,16,34,26810.551,0.0,0.39,1.67,3.3362081410678974,1,1,1
False,10000,55,15,33,24965.502999999997,0.0,0.48,1.625,3.300413879277201,2,1,1
False,10000,50,11,30,25740.969,0.0,0.48,1.69,3.401044900329011,0,1,1
False,10000,45,10,31,25068.229,0.0,0.53,1.685,3.4485684549356224,2,0,1
False,10000,45,11,33,25664.049,0.0,0.56,1.78,3.581202244617499,2,2,1
False,10000,45,15,32,25306.438000000002,0.0,0.59,1.795,3.6109560602320414,1,1,1
False,10000,44,15,30,26780.409,0.0,0.56,1.84,3.7249322986954563,1,1,1
False,10000,40,18,31,27422.149,0.0,0.57,1.905,3.857460121268657,1,1,1
False,10000,37,18,31,29084.673000000003,0.0,0.64,2.125,4.27207399287476,2,1,1
False,10000,41,18,30,32017.232000000004,0.0,0.62,2.315,4.648482105263158,1,1,1
False,10000,38,17,29,34154.04,0.0,0.62,2.455,5.000465147097801,1,1,1
False,10000,40,16,27,35433.509,0.0,0.63,2.59,5.19549576386991,0,1,1
False,10000,41,14,25,36604.494,0.0,0.64,2.66,5.409998350742166,0,1,1
False,10000,41,15,26,36595.806,0.0,0.64,2.7,5.398483127109111,0,1,1
False,10000,45,14,23,36296.711,0.0,0.69,2.76,5.5753807057300095,0,1,1
False,10000,47,16,22,36695.208,0.0,0.69,2.805,5.560005736137667,0,1,1
False,10000,49,15,21,35594.46,0.0,0.71,2.765,5.546673669467787,0,1,1
False,10000,51,11,23,35999.911,0.0,0.7,2.76,5.521311965811965,1,1,1
False,10000,57,13,21,35665.123,0.0,0.73,2.795,5.637712969786293,1,1,1
False,10000,63,15,20,36261.718,0.0,0.77,2.945,5.919549344978166,0,1,1
False,10000,65,15,19,41426.968,0.0,0.71,3.165,6.55037673130194,0,1,1
False,10000,71,13,21,46648.618,0.0,0.69,3.51,7.1773921879961895,0,1,1
False,10000,77,10,20,44166.244,0.0,0.76,3.55,7.1399933719966855,0,1,1
False,10000,78,14,20,50266.94,0.0,0.62,3.635,7.302177865612648,1,1,1
False,10000,76,17,20,48566.118,0.0,0.68,3.675,7.394269121813031,1,1,1
False,10000,77,13,20,49962.96,0.0,0.67,3.735,7.514730296673658,0,1,1
False,10000,78,15,21,49681.026,0.0,0.68,3.77,7.565066835603421,0,1,1
False,10000,80,13,19,49054.97,0.0,0.71,3.795,7.588976768021866,0,1,1
False,10000,79,11,19,47849.046,0.0,0.73,3.78,7.569233031674208,2,1,1
False,10000,77,10,17,50099.633,0.0,0.71,3.88,7.741802118933697,2,0,1
False,10000,80,15,19,50061.498999999996,0.0,0.75,3.985,8.03236385255648,1,1,1
False,10000,84,18,21,51602.848,0.0,0.73,4.055,8.211768710041369,0,1,1
False,10000,86,16,19,51622.401,0.0,0.74,4.09,8.281712666145426,1,1,1
False,10000,82,15,19,52784.822,0.0,0.74,4.21,8.395202506854682,1,1,1
False,10000,85,13,21,53206.740999999995,0.0,0.74,4.235,8.420328064764842,2,1,1
False,10000,83,13,20,52057.12299999999,0.0,0.76,4.185,8.432658343736996,1,1,1
False,10000,78,12,20,49890.784,0.0,0.85,4.345,8.71459565807327,1,1,1
